Minisector,HAM,OCO,Fastest
0,293.51901485104764,289.8965990109091,HAM
1,219.47775928562356,205.315474623136,HAM
2,230.49535368806679,224.99739770487616,HAM
3,274.214720291542,273.09093196841127,HAM
4,248.43452720958155,236.2282626145055,HAM
5,127.70006109745242,128.87056647934267,OCO
6,210.6823151666058,212.78918809162627,OCO
7,256.4225438645063,253.9607842094437,HAM
8,245.28415768911148,234.263066624903,HAM
9,233.91914271024763,229.08333713371374,HAM
10,273.4077709206349,272.0562046314128,HAM
11,292.7288322818471,292.36136944880997,HAM
12,301.9382331555555,301.98567324840405,OCO
13,306.6216618969697,307.0737745568627,OCO
14,301.15473025254903,306.5710797791784,OCO
15,254.65214162692064,254.608838951342,HAM
16,243.05536007486543,234.23059924961754,HAM
17,277.1314758664662,275.1158543136508,HAM
18,285.3997894252819,288.60729423665896,OCO
19,160.7392265360581,151.8587935667412,HAM
20,209.5854820867577,205.51642756849884,HAM
21,189.0313772127961,189.25482664464994,OCO
22,136.27991038281144,137.21224934337002,OCO
23,229.1800849610921,232.01039916561578,OCO
24,276.9679835363265,273.8382549130159,HAM
25,,287.8594451911111,OCO
