Minisector,RUS,PER,Fastest
0,303.54930083321904,307.9995019788101,PER
1,140.81160078486857,145.44106446509926,PER
2,215.67041669333335,212.32884492913038,RUS
3,274.8898393946149,271.8636362938932,RUS
4,312.91494047577027,310.96120046553483,RUS
5,319.5001468302792,318.3794371733333,RUS
6,150.73846895131675,151.76315168793604,PER
7,246.23947447641325,241.1025171220604,RUS
8,120.05506878163062,116.98640473253177,RUS
9,130.8947958883589,148.56613098881252,PER
10,267.8922547162138,270.2651363280591,PER
11,299.26378213818185,298.7292534469264,RUS
12,259.14005094352007,250.09621339071134,RUS
13,155.98986832756384,152.31855634835276,RUS
14,267.73671003437454,270.51423924679676,PER
15,304.41666211601733,305.910604389234,PER
16,319.8615603153623,322.69964308705886,PER
17,330.6509482076564,330.5597188146609,RUS
18,335.8096102508642,332.1997941532027,RUS
19,335.3368985498413,328.71383662666665,RUS
20,239.83431099908287,208.64635845578184,RUS
21,149.05805223321715,159.3870333607295,PER
22,271.6831873484058,273.1551309891294,PER
23,308.66782079125977,308.77526290438095,PER
24,324.4693523428571,323.8186756178537,RUS
25,324.0,,RUS
