Minisector,RIC,HUL,Fastest
0,280.5654419974455,277.2879976612199,RIC
1,296.32293075839436,295.79495222383616,RIC
2,290.4524997184107,287.46277803495536,RIC
3,175.33583877773626,173.58018159245685,RIC
4,127.58713310173503,132.22859807612173,HUL
5,244.49395453910546,246.74445332076976,HUL
6,295.5614353605707,292.15694028013513,RIC
7,298.13920794024835,292.0070358683039,RIC
8,169.09277674896893,168.5032549971629,RIC
9,147.58073349672318,145.69684284524286,RIC
10,257.0943374876318,255.7642619986543,RIC
11,290.09452951747875,289.3744029592057,RIC
12,294.9447452331349,292.1941380420413,RIC
13,281.5078565577618,279.26084160479013,RIC
14,302.0253304173418,301.4414625995043,RIC
15,303.3247426636298,298.2342285673219,RIC
16,251.10250119493477,234.47044929305866,RIC
17,231.26347415273358,220.32905696344847,RIC
18,291.7868226934415,288.9402171689158,RIC
19,321.3155398228479,320.9951772874294,RIC
20,324.8928966955153,328.0528695315483,HUL
21,205.67194095896767,223.88629237779654,HUL
22,254.89532694722743,252.26643866012347,RIC
23,139.05528031824514,141.0386932251443,HUL
24,220.45834806956057,220.21323440708764,RIC
25,263.22500053333334,258.918408771274,RIC
