Minisector,BOR,GAS,Fastest
0,257.11207042527775,255.39798114530035,BOR
1,133.32897740792743,133.88883736009063,GAS
2,268.65969325373675,268.83197207182303,GAS
3,307.0174549029893,311.7174732223266,GAS
4,307.3485847246561,313.08702372219784,GAS
5,314.9478787927273,322.0343197362228,GAS
6,320.1392380688254,326.14628474666665,GAS
7,317.4502854834162,322.15507944371416,GAS
8,209.60858074079457,193.95418608353077,BOR
9,200.32779438567295,202.9131105186032,GAS
10,179.84950123361924,179.19122024622254,BOR
11,171.59464035230877,172.6662313693881,GAS
12,250.64805452714677,255.14392811209603,GAS
13,274.5401702002062,271.8683763471156,BOR
14,279.61235391811874,284.3587420215692,GAS
15,268.5431977500952,274.11997837241375,GAS
16,175.83033149011018,174.46457374647645,BOR
17,201.56785901923848,195.05125564826074,BOR
18,249.2542701557372,247.88633272974874,BOR
19,291.6088663930435,294.881064935873,GAS
20,309.51874897809813,313.972796007619,GAS
21,315.2773243574603,320.83704273569987,GAS
22,313.41958566887615,316.7657405931142,GAS
23,268.158214169164,219.66322866694304,BOR
24,117.19670463390369,122.6549636361686,GAS
25,230.20000000000002,,BOR
