Minisector,HAM,VET,Fastest
0,262.8482457263158,268.2828426666667,VET
1,296.9365170579788,300.60975389306446,VET
2,310.8209328,316.2333688373484,VET
3,319.64974598165793,325.4307935593651,VET
4,324.5854166857143,330.69006005905055,VET
5,327.44481299591837,332.8705356952381,VET
6,282.46176269803925,287.81960784313725,VET
7,116.6571866504602,114.35888239901217,HAM
8,149.7217455311629,150.72452366730158,VET
9,251.04890414035086,255.1195272871463,VET
10,288.72526073333336,291.8766665244445,VET
11,231.25467476049403,250.5768154514286,VET
12,93.94797403424116,92.96323903895318,HAM
13,113.39396004484925,108.88488673351311,HAM
14,214.50357211428573,212.9528930157834,HAM
15,196.1744285927619,194.42820538152185,HAM
16,222.96570234198708,224.54606372975832,VET
17,195.5388888888889,195.41392195871532,HAM
18,221.42434457142858,224.31315561689036,VET
19,271.8230393098039,277.0169118745098,VET
20,289.50946714626565,293.4182637091262,VET
21,155.8471288275862,155.55032927947457,HAM
22,102.76497128887652,103.92433627525257,VET
23,123.75450372612613,119.25958655839598,HAM
24,205.3366496015959,200.21731727476097,HAM
25,,248.08333333333334,VET
