Minisector,SAI,BOT,Fastest
0,292.9148549101449,291.12604137777777,SAI
1,300.73100656623376,300.57865592961303,SAI
2,274.50266820266665,274.011501824,SAI
3,113.7912399382668,117.57820910991707,BOT
4,231.52531977528935,233.1900480988965,BOT
5,273.43049954133335,272.82502346361906,SAI
6,202.36119639698717,209.78613672291812,BOT
7,175.46633732296436,176.0930907508772,BOT
8,216.61009120950177,213.2806977486748,SAI
9,222.53775596277603,228.92241109333332,BOT
10,119.80277344778231,119.81026040976958,BOT
11,235.5638520927834,228.8928715978533,SAI
12,119.66074322851331,119.9001028845055,BOT
13,227.92026573089643,228.38491255172414,BOT
14,273.98733468518793,271.48764719857553,SAI
15,215.8372848150865,214.98643384666667,SAI
16,207.13287720500347,205.9923256414547,SAI
17,253.64104924444447,252.02438253827162,SAI
18,196.33171034760935,198.43517264313726,BOT
19,194.16420690849128,193.10880914285715,SAI
20,269.05050984065815,264.9826424746667,SAI
21,289.4232868899717,284.15729173333335,SAI
22,168.52143472388366,161.10122040101865,SAI
23,220.54358357245937,222.19611310241433,BOT
24,276.23258380551,274.6747479912088,SAI
