Minisector,ALB,NOR,Fastest
0,249.80088751599618,258.8895855014548,NOR
1,130.64111365027728,129.01754626147994,ALB
2,264.56881754190675,268.6667824289745,NOR
3,305.94715106938776,309.50696639999995,NOR
4,304.3472700689655,305.95894977414963,NOR
5,311.9469708897544,314.49628485254516,NOR
6,316.6705246814815,319.90506720817564,NOR
7,318.8656140555582,315.10568796895944,ALB
8,199.8771247934321,198.1926121813829,ALB
9,194.02320238324137,197.3307232970403,NOR
10,180.21413009500517,178.65323180275973,ALB
11,164.61379075649114,161.5223826875125,ALB
12,251.05082772888758,250.69699683743858,ALB
13,275.2844002049686,280.75276989401226,NOR
14,276.7733460955912,286.1346823263492,NOR
15,270.8903654,277.62487284038014,NOR
16,185.43924297037404,181.81652368592768,ALB
17,191.1194368308087,192.30225583783948,NOR
18,240.42896396154907,242.19199311709085,NOR
19,285.88267720027716,290.0466610368816,NOR
20,307.8691421009509,311.3876912870748,NOR
21,315.10721169729743,320.386904821164,NOR
22,309.83412915016976,315.07113093333334,NOR
23,252.79503883784204,263.8637958015926,NOR
24,115.3530103773759,111.70617654392827,ALB
25,,232.020832,NOR
