Minisector,GAS,RIC,Fastest
0,276.08405090309645,282.59905127961474,RIC
1,154.34636375853756,157.94177584017072,RIC
2,140.48540533699816,138.26180387777066,GAS
3,223.65626130942468,224.41703128021805,RIC
4,281.29335347936507,280.512163305503,GAS
5,283.97458951064937,282.6254861536088,GAS
6,142.44176233651694,142.46815894404136,RIC
7,135.85639024639218,137.77844594909706,RIC
8,134.43908673029392,137.29103197798585,RIC
9,184.4110791805221,183.69467853117823,GAS
10,123.11782017474972,123.40414803278438,RIC
11,118.10932626974446,116.94958977365137,GAS
12,162.89196332033535,163.43179385982907,RIC
13,264.0971630931803,264.2690027381523,RIC
14,286.16655565155554,283.5018571291428,GAS
15,145.53199528083576,140.06123709332357,GAS
16,199.25861815534392,199.59321253918426,RIC
17,166.91387155397683,167.67845259477943,RIC
18,266.71589493671183,268.30802459337144,RIC
19,289.73598543183124,289.73785702349204,RIC
20,303.2552875838816,302.84933790507364,GAS
21,310.7366541172932,310.911499968,RIC
22,313.443287275353,313.4640350690059,RIC
23,316.21647728484845,315.7401458796312,GAS
24,313.90673094862245,313.6745022531602,GAS
25,309.26428525714283,308.0,GAS
