Minisector,RAI,BOT,Fastest
0,272.0035715809524,265.85313983917,RAI
1,137.34774477781704,132.64810804272074,RAI
2,187.58442363597885,190.8997932464473,BOT
3,244.21888737457954,243.75711251485163,RAI
4,261.9355166359383,263.5838709578589,BOT
5,183.5554456931743,180.66554935587445,RAI
6,143.16874263459772,148.1370640546215,BOT
7,177.03739844276328,178.7775601274961,BOT
8,101.86926809196763,102.86179707964345,BOT
9,75.04137355276536,77.83307537712385,BOT
10,90.92205229227834,92.23332940912485,BOT
11,167.55453957503417,167.63527858588208,BOT
12,245.12979209403463,240.85249962666666,RAI
13,270.8265695419545,269.10986191826885,RAI
14,277.5648530657508,281.19314210504433,BOT
15,110.52155754285714,129.20753545432248,BOT
16,140.33200407968877,122.42780096377828,RAI
17,193.12688209309542,189.180768871024,RAI
18,195.18234138910748,186.7451499448008,RAI
19,218.38942774986938,221.4949394596292,BOT
20,128.89096788510062,130.34421784489797,BOT
21,120.81609021968254,123.74469783960664,BOT
22,89.07107711916576,87.38758784442838,RAI
23,190.2494708152048,185.44616120701755,RAI
24,249.96808074285715,249.66533532322464,RAI
