Minisector,PER,RUS,Fastest
0,248.41114573019132,250.5961321338388,RUS
1,214.49268704131686,212.2890099650986,PER
2,195.15330142037396,204.8100756283272,RUS
3,252.3961282733073,254.95541687226387,RUS
4,269.2830848736508,269.0128027985359,PER
5,288.33719580444443,281.18739104,PER
6,175.78163600093353,166.7230558248189,PER
7,172.20979807922566,178.15087733797347,RUS
8,265.32554233627707,260.9957722256085,PER
9,291.49808682601207,285.6008517929881,PER
10,303.9379887934694,294.6319981624242,PER
11,304.9792849907056,298.92615727407406,PER
12,114.23014304253968,115.79022546237591,RUS
13,182.19845702737504,184.93368940341261,RUS
14,268.49236391102465,263.1406943874225,PER
15,294.8359893768575,286.5457292693333,PER
16,301.3876867121344,284.91671423792206,PER
17,184.85998506119142,187.41861057822206,RUS
18,217.9152854626176,214.2196266546267,PER
19,262.5529462466032,258.41855032650574,PER
20,156.87139854686475,161.36434582877192,RUS
21,139.70127910290398,141.9762426079863,RUS
22,215.78078314113378,208.2421763986395,PER
23,236.9507211823666,232.52226571995118,PER
24,149.41032703293843,158.78275037223762,RUS
25,220.89999786666667,223.65364666666667,RUS
