Minisector,VER,MSC,Fastest
0,274.20942742031747,271.79488722962964,VER
1,291.6349362634548,291.7916885445614,MSC
2,290.4197752550265,289.7119448735773,VER
3,174.82657169046877,174.75407791138073,VER
4,115.67780076354808,116.38875102791971,MSC
5,234.01368529305728,233.27624604415985,VER
6,277.177780565047,278.31760466161137,MSC
7,290.65577199108543,289.0598064923906,VER
8,171.63267943804058,174.2735422835471,MSC
9,137.40206362400005,139.7265184952007,MSC
10,245.8266041478116,245.90379766830313,MSC
11,285.6320812095425,283.0615505872132,VER
12,293.629153739538,287.38445109682664,VER
13,265.73650853925926,273.03791138302444,MSC
14,291.3166600840377,291.38252155197694,MSC
15,292.4179270990099,288.18552442096797,VER
16,237.60381166897477,242.2661847331217,MSC
17,213.19115006795556,220.477716467597,MSC
18,272.95988069721636,272.5845523285096,VER
19,296.9410717954499,294.5668271432657,VER
20,304.67406141903484,298.1896131809524,VER
21,217.5520661134109,229.17807713173372,MSC
22,251.3158061107408,251.37590032156288,MSC
23,136.68148392941066,131.72453153030403,VER
24,211.9542975763645,209.74082989260486,VER
25,253.22000128,253.70000000000002,MSC
