Minisector,HAD,OCO,Fastest
0,244.73312409481483,251.01984257015872,OCO
1,132.755980835745,132.9040498714061,OCO
2,202.33532847238095,206.33884833928343,OCO
3,240.67619221865817,247.52053364786326,OCO
4,256.5345120386552,255.76672696829124,HAD
5,184.11394737381983,184.77507156885508,OCO
6,145.6687114766432,145.8159876983397,OCO
7,183.6064629309146,180.61171889714285,HAD
8,104.33487081033712,101.22785341103858,HAD
9,73.86261470713883,71.21261239038054,HAD
10,94.35550708014854,98.04294891311916,OCO
11,172.5912503632253,194.20653734159592,OCO
12,237.21128210971253,244.62389306096568,OCO
13,261.45613553244044,265.6521802261995,OCO
14,270.35150449959184,278.075556260202,OCO
15,113.28587021854105,107.77178410833505,HAD
16,140.1437220119228,155.4031856321693,OCO
17,181.28840174222222,187.38588843377778,OCO
18,191.163846058271,198.66957391177948,OCO
19,214.86405081723686,221.62026873079407,OCO
20,132.44989877469922,136.89369457595637,OCO
21,113.90060834309956,121.49458080813335,OCO
22,100.8360520339473,94.68186715968423,HAD
23,199.19132884825396,195.56386293078148,HAD
24,245.54290442983998,246.25417570787877,OCO
25,259.92000512,263.0,OCO
