Minisector,NOR,RUS,Fastest
0,296.0907203552655,287.8369932214665,NOR
1,302.8024150974387,293.1511597339194,NOR
2,150.91271980130153,163.48729003803987,RUS
3,221.03627418548953,221.70419113771732,RUS
4,278.5010917121195,268.5893458680112,NOR
5,303.2960168205128,289.00896892026145,NOR
6,316.3901255927438,298.04765453605444,NOR
7,161.5524249513525,172.62688540374384,RUS
8,127.61890542730572,117.70129475352982,NOR
9,250.681250840859,243.25730399813827,NOR
10,292.1911960711111,280.0152867476279,NOR
11,307.77633907886667,293.496259072,NOR
12,143.2041850130657,147.6612406520769,RUS
13,188.2321623509435,178.95466686539683,NOR
14,255.8284328056003,251.72322810468555,NOR
15,198.72107680048643,207.90092860531482,RUS
16,212.600903829842,206.43634720744095,NOR
17,209.40283165897148,209.29313426136062,NOR
18,243.09334887822223,235.30054644875423,NOR
19,277.7404170074074,271.5373937372412,NOR
20,293.45226915495795,290.98562308371334,NOR
21,264.3641535554145,267.35135816878113,RUS
22,221.98069094488835,225.44035516098933,RUS
23,196.14862242112667,200.34679832743763,RUS
24,263.7186105765935,255.69357837143338,NOR
25,285.98000128,276.82000128,NOR
