Minisector,OCO,HAM,Fastest
0,253.9236153295238,258.2280481616162,HAM
1,128.70495677124265,127.82346579506991,OCO
2,197.33903262984126,201.55075640098764,HAM
3,242.5523774245926,246.94964719267978,HAM
4,253.56762900410268,253.78950440804232,HAM
5,173.48829178412697,173.4297358935873,OCO
6,147.12044793629568,146.56749790861662,OCO
7,178.51361256533332,187.15405291843553,HAM
8,97.2595642673903,99.33344590828584,HAM
9,72.20307600632867,71.79420967373231,OCO
10,92.77222141242693,99.07818915747748,HAM
11,181.11512835943978,186.73432908826,HAM
12,238.2098640987013,243.4651784137143,HAM
13,266.5154603331061,267.83694465094015,HAM
14,273.4515306122449,276.06591385534045,HAM
15,112.3739554333939,113.89547901206349,HAM
16,138.3346432078091,145.51510778405586,HAM
17,185.41036734419754,185.73693325677831,HAM
18,196.05866594855118,197.00975029333333,HAM
19,199.9270979854342,210.19714924632575,HAM
20,132.31179433025642,134.35643530139194,HAM
21,108.49849749010102,110.99555630995948,HAM
22,93.94178346371902,98.4308201238988,HAM
23,195.27537079703703,198.7898431375238,HAM
24,245.62564157264958,251.78406218876233,HAM
25,261.6666666666667,,OCO
