Minisector,OCO,TSU,Fastest
0,274.18245166526316,275.7223897229659,TSU
1,296.2497179588638,295.268333312,OCO
2,293.91233335466666,291.81243750621115,OCO
3,180.09778918820862,180.50117688761904,TSU
4,114.96391402831317,118.49624290303089,TSU
5,232.01213952972432,235.3033756078241,TSU
6,279.2249997432099,279.26242082257977,TSU
7,288.36677622500974,290.26162214579716,TSU
8,174.8733145142857,185.40796339846042,TSU
9,136.71892649214197,142.34891060430672,TSU
10,246.91513909147403,250.6158632688151,TSU
11,287.3399687506173,288.0888146120387,TSU
12,297.53074867988937,295.18482156190476,OCO
13,271.4309099102041,277.51388890864195,TSU
14,291.73333290666665,293.5864502513412,TSU
15,295.1763899135773,296.02554585396825,TSU
16,245.25878657996716,252.691819100363,TSU
17,219.85969464378937,223.20938411444376,TSU
18,274.332406637037,274.28415738021977,OCO
19,296.040160417438,294.91398227064667,OCO
20,295.66600008533334,294.9350647279012,OCO
21,225.55351909292696,232.77538138257714,TSU
22,247.9102617589491,254.40076942031482,TSU
23,136.2792768557002,140.19684960104865,TSU
24,208.62170373414423,212.8390032612924,TSU
25,255.11666773333332,257.0375008,TSU
