Minisector,PIA,LEC,Fastest
0,294.8250775026455,290.8522325269534,PIA
1,300.53209557909224,300.37832514285714,PIA
2,161.56704089489176,163.82454968766447,LEC
3,223.30760598152125,221.32905509153878,PIA
4,279.1006942532628,272.4446852262584,PIA
5,309.90722572284466,294.1344823877503,PIA
6,318.2020384866558,301.51270835555556,PIA
7,163.84423013398268,168.50326906342528,LEC
8,134.52900933754086,130.81631992431176,PIA
9,254.70982395705627,248.54403883477076,PIA
10,298.37084754294443,283.66854165555554,PIA
11,307.4201771228466,298.06920277252635,PIA
12,142.92263831283287,143.75356461739588,LEC
13,190.7451268718198,185.25439551583204,PIA
14,256.60525914164805,256.75696915704276,LEC
15,201.21151215901244,195.42319137976963,PIA
16,218.096707776,215.15366382392554,PIA
17,219.2154326010158,213.40675453144374,PIA
18,248.26233265198096,240.92688166374606,PIA
19,279.65342496925285,275.8933021655642,PIA
20,295.2196364362696,294.40011606561615,PIA
21,260.40965069485713,264.73526640513364,LEC
22,222.38201312137,217.14926503314004,PIA
23,205.0471583040747,199.4238432859979,PIA
24,270.5443159563772,262.93295427094466,PIA
25,,280.30000071111107,LEC
