Minisector,LEC,RAI,Fastest
0,301.6219182840579,296.62954490735933,LEC
1,163.45735865686808,156.05297421696213,LEC
2,154.1115049405353,153.95869944754892,LEC
3,233.6891026271043,225.07369935782842,LEC
4,288.4674229140514,282.9921808969697,LEC
5,288.4613294842474,291.8274590923723,RAI
6,151.65855381449882,145.19719709413067,LEC
7,147.40972906381546,140.24352814914258,LEC
8,150.01165840242004,148.88475813295582,LEC
9,197.34519971616945,180.00550137089002,LEC
10,134.7019522511164,130.72984824755844,LEC
11,126.1777839834269,125.45775721590664,LEC
12,171.01844490954954,159.59179111127355,LEC
13,271.18703642962964,263.67412884234676,LEC
14,293.8062498909091,289.37797654025974,LEC
15,158.4937089596372,154.63456652152118,LEC
16,209.8341207907986,214.02585577916935,RAI
17,178.31282175911167,163.17674055538848,LEC
18,278.33489533333335,267.65630052063494,LEC
19,300.61796450157186,292.9245134060606,LEC
20,317.05932521360546,304.9158732190476,LEC
21,321.62894731228073,313.3007145142857,LEC
22,318.87296961537356,316.6514440696453,LEC
23,327.2962017088435,318.8039582933333,LEC
24,331.0256944592593,319.53312496,LEC
25,329.1541664,319.0,LEC
