Minisector,OCO,RIC,Fastest
0,292.66851165201786,284.11583521737214,OCO
1,297.347984628254,288.41541498311113,OCO
2,159.0695110885255,157.2134997095164,OCO
3,221.2531025822436,220.65885996576898,OCO
4,276.0587805852814,269.30313464701754,OCO
5,302.6032995856054,289.5833957131628,OCO
6,308.93651721094875,295.32501591425427,OCO
7,180.32654475586406,172.42968359281883,OCO
8,123.40825434916214,127.27442153463979,RIC
9,247.32364382538526,245.55079336227968,OCO
10,289.18467705044753,282.17855804444446,OCO
11,298.2243064888889,293.56580823703706,OCO
12,142.74180893942398,139.9530171346531,OCO
13,190.12148833260073,187.1789307998753,OCO
14,247.6436261298805,254.7122013637385,RIC
15,195.35736890006686,197.52582928699627,RIC
16,206.45096316703882,222.790763847706,RIC
17,203.3547435502301,201.6929205294686,OCO
18,238.4742440169697,239.05005651538582,RIC
19,272.0632335983193,275.6429711392799,RIC
20,286.40931681257143,290.98267353777777,RIC
21,259.4445093225389,251.77719577733032,OCO
22,221.2312445562283,215.91960724768953,OCO
23,193.31256039511982,196.11147369227083,RIC
24,257.4642622408242,258.6934570047224,RIC
25,272.63124880000004,,OCO
