Minisector,PIA,BEA,Fastest
0,297.5762582176242,303.4945262192714,BEA
1,208.19449525388035,201.88619088350126,PIA
2,149.59409073129706,146.433942594557,PIA
3,227.43642504557914,220.55092688675052,PIA
4,175.30418460947067,160.4486559077692,PIA
5,193.80207381057363,186.95962368877392,PIA
6,255.83274761461124,257.38351853981777,BEA
7,277.92030356888887,280.80941554823534,BEA
8,281.68782851116424,287.1376301733333,BEA
9,266.61661450756304,265.278582506567,PIA
10,256.28666653333335,253.2075064051948,PIA
11,250.30393440570964,242.18756432847618,PIA
12,221.7428531699499,201.7462379645878,PIA
13,134.77170402498425,130.2923639903355,PIA
14,147.30004319389707,135.90102026835694,PIA
15,179.19244196871986,184.8733384209028,BEA
16,252.16569514013585,256.8750726417927,BEA
17,239.3493584817166,227.83905005917669,PIA
18,115.68978669350568,111.00090757863074,PIA
19,201.75015957372773,201.0153146071503,PIA
20,207.4687658144222,203.29007066419706,PIA
21,239.67969958944164,239.74731211208598,BEA
22,266.40831538190116,271.195637124183,BEA
23,282.02587450600123,289.92298582044447,BEA
24,292.8033927583332,301.746253583301,BEA
25,295.2812504,,PIA
