Minisector,OCO,GAS,Fastest
0,289.8965990109091,288.660906540211,OCO
1,205.315474623136,206.09129583654098,GAS
2,224.99739770487616,222.98566208422207,OCO
3,273.09093196841127,270.15751488,OCO
4,236.2282626145055,245.18441719906758,GAS
5,129.55879703993668,128.6969705771609,OCO
6,214.65561722823196,210.52611684952382,OCO
7,253.9607842094437,254.3743963089039,GAS
8,234.263066624903,237.08298788500957,GAS
9,230.18731086950208,232.13352335783392,GAS
10,273.36521138594964,272.07473543837943,OCO
11,293.067344152,289.05147435885715,OCO
12,302.20169550358315,299.58661439668265,OCO
13,307.0737745568627,304.54627689280755,OCO
14,306.5710797791784,300.12820855714284,OCO
15,254.608838951342,249.7093332997049,OCO
16,235.299486363982,236.94652214857143,GAS
17,275.9308968853333,274.1572852864,OCO
18,288.60729423665896,286.878441250786,OCO
19,152.37193451466712,160.32647357099805,GAS
20,206.84994368113342,209.19916732234074,GAS
21,184.16915536679235,178.00430060359017,OCO
22,138.72991595210192,142.69054307137952,GAS
23,234.24084932210687,234.90968819555556,GAS
24,276.91678119757574,275.7153674216237,OCO
