Minisector,ALB,RUS,Fastest
0,302.0185558986114,304.13377677294363,RUS
1,315.6363948843537,315.13244053333335,ALB
2,323.4769233230769,321.6064897831339,ALB
3,327.96879741253963,316.6509613538461,ALB
4,221.32729358447835,198.523974591603,ALB
5,96.39212432826052,104.54542029151477,RUS
6,195.993510770068,212.68218587439387,RUS
7,250.02747458349435,259.60413302507106,RUS
8,283.18316526346564,283.6855560838095,RUS
9,293.4436110933333,289.36587836988264,ALB
10,159.31352596048697,152.0235117890701,ALB
11,164.33132698989544,187.4538048092516,RUS
12,232.34934293333333,244.6395835005291,RUS
13,237.6017113437094,238.89483250568108,RUS
14,152.3185439758884,158.77543599303232,RUS
15,202.0398548099773,222.48472274850087,RUS
16,255.04858165298816,263.9243948373728,RUS
17,276.6763024666667,283.5923210849812,RUS
18,287.4313494857143,294.44187944489795,RUS
19,294.5580557511111,297.5990282740066,RUS
20,284.4132127739288,279.71171746666664,ALB
21,152.79556449032256,156.18421394834428,RUS
22,204.47233263011015,215.2356666603777,RUS
23,252.7397061647059,261.1002458352941,RUS
24,276.56250066666666,284.84374953450504,RUS
25,284.48333333333335,292.75833386666665,RUS
