Minisector,VET,NOR,Fastest
0,270.2652687610214,270.7930380421602,NOR
1,288.5133745341799,290.7049072998068,NOR
2,271.65751440577196,257.6285175944462,VET
3,153.86911208008877,147.59417415897602,VET
4,188.88685446830345,183.3769846272165,VET
5,166.8436746160684,171.2093871691517,NOR
6,155.9612997419372,158.84587461561262,NOR
7,186.13029741222263,189.1080112360471,NOR
8,236.44834213469386,238.34300055437325,NOR
9,228.45618829660614,214.0278673531699,VET
10,141.72649004225661,136.94430157093166,VET
11,213.48904152380953,208.91695197581026,VET
12,108.33313597307581,101.6733313923169,VET
13,209.11671335076477,216.49631729997884,NOR
14,260.31970812266667,264.6223917768242,NOR
15,269.58627054476193,261.7979595521763,VET
16,173.01724407998813,160.06384917872984,VET
17,154.80273579783503,157.09341421556937,NOR
18,251.04874448373425,253.06546682908737,NOR
19,277.10324746305406,280.45559690225895,NOR
20,289.26627659636364,291.6027731116883,NOR
21,278.3525495828511,264.16624167794026,VET
22,232.3834932995607,203.95982742944315,VET
23,97.89544641737406,104.03811124260949,NOR
24,218.32677408388255,221.0017742908759,NOR
25,256.6428544,,VET
