Minisector,RUS,TSU,Fastest
0,241.16573698033795,242.781159910559,TSU
1,272.17831581698164,275.15085440969466,TSU
2,172.84490319314224,182.9304725157248,TSU
3,147.18533665745622,154.54034180568306,TSU
4,255.94604492395385,255.9593935462504,TSU
5,267.30865057391304,272.2559846254545,TSU
6,237.574839315873,236.8581376586166,RUS
7,215.88528477586394,206.3075609900408,RUS
8,157.90070193396664,165.35834778571427,TSU
9,214.8230856449261,215.09640842221015,TSU
10,265.78557703634175,269.33492656012646,TSU
11,120.88305769547483,129.5697610196971,TSU
12,203.4315726604345,211.35615240701384,TSU
13,266.6092275912304,269.2420495253684,TSU
14,286.0714690835088,289.52613993425047,TSU
15,289.76995758814815,299.1018884237873,TSU
16,238.4344063195617,234.26477373119326,RUS
17,132.36242656349089,137.73788711062113,TSU
18,134.53165562939037,137.76004112380295,TSU
19,121.40993494096529,125.45772227597313,TSU
20,226.62669041140933,226.30536916043957,RUS
21,254.79541449722407,259.788466622607,TSU
22,246.04744914839827,233.62802834180772,RUS
23,222.55460974398773,210.42164583772043,RUS
24,139.80338197525967,135.7410949682719,RUS
25,211.82499413333332,,RUS
