Minisector,RUS,ANT,Fastest
0,306.0064600193016,305.5904745354184,RUS
1,237.20476014679508,241.12829160655707,ANT
2,121.17787532078144,131.70189219758845,ANT
3,236.9225905323262,238.6306846413152,ANT
4,190.95851940225683,195.74140947298542,ANT
5,243.21040590313734,247.84841368611924,ANT
6,227.03002117967156,227.49130032500446,ANT
7,252.88969168957192,257.4425738336718,ANT
8,293.02101467907124,292.3795601611977,RUS
9,201.42554229007223,209.74958164708664,ANT
10,201.14760424974452,202.76515224675882,ANT
11,271.815153559575,271.7677532568116,RUS
12,214.41480983088022,212.25305158677924,RUS
13,248.35676644091174,249.44690186657866,ANT
14,292.11132688454063,292.56572116259434,ANT
15,309.47138617920155,308.5303319426709,RUS
16,309.4740604631579,307.00317738666666,RUS
17,205.5885881105393,206.24346433206972,ANT
18,260.43899456285715,264.95392440721974,ANT
19,295.617620173436,296.40943802265605,ANT
20,311.83325303719096,311.4429232555783,RUS
21,312.8189725848933,311.5597669422526,RUS
22,147.04392862934242,149.74267682733935,ANT
23,232.94071039346937,237.108034993288,ANT
24,288.0929504833697,285.8351098215287,RUS
25,,299.83181847272726,ANT
