Minisector,SAI,RUS,Fastest
0,250.9516148485501,250.5961321338388,SAI
1,207.04934445471136,212.2890099650986,RUS
2,198.63551276549333,204.8100756283272,RUS
3,249.08329735937323,254.95541687226387,RUS
4,265.0445333426526,269.33040267132975,RUS
5,287.06565143544356,281.44676059200003,SAI
6,163.8537723810461,166.7230558248189,RUS
7,185.1963898755799,180.1460103270711,SAI
8,268.734839552312,261.90863188759147,SAI
9,302.6561443490052,285.6008517929881,SAI
10,320.9136929179804,294.6319981624242,SAI
11,324.31653324907563,297.12416634666664,SAI
12,116.43038211823904,108.98952405829428,SAI
13,178.46361446446613,194.04823696203331,RUS
14,266.59939486078673,266.3101385525019,SAI
15,292.8915095690236,287.3924342905263,SAI
16,300.92425600971956,284.41671423792206,SAI
17,180.04903805322417,184.33661213623444,RUS
18,220.55133895882366,218.46108669108668,SAI
19,266.66829633411015,258.78006896956805,SAI
20,150.76394499118337,154.9791979045614,RUS
21,140.38599646684105,143.6903459491628,RUS
22,212.756489170282,214.2728475986395,RUS
23,227.47503359945233,226.57034246525032,SAI
24,156.00118630726587,160.36940051493647,RUS
25,220.83333333333334,224.8715288888889,RUS
