Minisector,PIA,PER,Fastest
0,290.4676541915344,292.3278545523809,PER
1,303.5136298389318,303.1945041672317,PIA
2,304.98699999999997,297.76603140849994,PIA
3,191.09633881345218,177.47157713704257,PIA
4,207.36876778740708,207.6199625141684,PER
5,207.38472556088848,203.74266047019373,PIA
6,264.2928072931554,262.48548188904005,PIA
7,252.39560721450772,248.4103894986689,PIA
8,208.49987941094653,199.3903149357037,PIA
9,202.47302958917135,200.0562410408405,PIA
10,148.82783855994504,147.51114705456757,PIA
11,200.48484263274116,182.31374831435866,PIA
12,183.9202676935359,188.79270892727104,PER
13,246.48518771486295,237.63244978992407,PIA
14,174.51216230219558,170.05351033394257,PIA
15,231.73921358535628,237.61995723493317,PER
16,273.8650139215119,275.7975591111111,PER
17,277.98063749123537,276.28298105650794,PIA
18,269.93686074178635,263.44718990878823,PIA
19,258.1321155231746,249.88461940869567,PIA
20,257.7389287107483,252.06076335219896,PIA
21,257.73142154064124,260.7796215227706,PER
22,224.12866846824514,194.35133940646125,PIA
23,200.05886635706227,208.78307203630752,PER
24,267.88048306684806,271.2631007940741,PER
