Minisector,TSU,RUS,Fastest
0,266.9601931368936,270.58450916492916,RUS
1,286.0289472,290.07796853602423,RUS
2,286.95005274028955,295.15357124010023,RUS
3,122.13115604848485,123.52079298061538,RUS
4,191.08451324542423,191.01041001020897,TSU
5,247.32956416145126,251.12572150257324,RUS
6,138.80640576012325,136.30369493827328,TSU
7,195.61404152098766,201.19782561379628,RUS
8,254.83808607944454,257.358560522449,RUS
9,276.5589601122807,276.1026914792344,TSU
10,220.1305413294999,229.09732841217934,RUS
11,175.6132734960362,172.38239770223726,TSU
12,185.68545980206548,185.43872402525594,TSU
13,145.8355713319146,142.0535324272629,TSU
14,171.81184257939395,177.62177369462367,RUS
15,159.6237393165266,160.41893323703147,RUS
16,218.37797971017142,212.78269234871794,TSU
17,225.04510942608695,229.0382537284162,RUS
18,232.6190196133052,232.7318839652174,RUS
19,230.94420377971014,232.4335687747399,RUS
20,141.70249948471601,139.7987517509211,TSU
21,134.62166731809523,134.1908995517491,TSU
22,167.08077065661064,166.914767377282,TSU
23,147.92157998769738,146.6255145680064,TSU
24,224.81275959294572,228.42470183745766,RUS
