Minisector,LEC,RIC,Fastest
0,286.9935209770308,283.5507011226891,LEC
1,122.43118020729732,124.79870251004914,RIC
2,167.84240787252833,154.60491111632217,LEC
3,210.7384833921429,211.26539826086955,RIC
4,164.96728575587554,163.85391737865913,LEC
5,247.36112965102538,243.68223724912278,LEC
6,210.91689689608714,218.91497187138017,RIC
7,140.14783158119957,132.98210595775964,LEC
8,238.65000668434115,226.73770821333332,LEC
9,279.4822649934248,274.5620043174603,LEC
10,287.3539056,278.87270643790987,LEC
11,148.24600881139688,148.28957351029186,RIC
12,223.2475667186147,215.6330964020767,LEC
13,273.6192716888889,270.4696634749,LEC
14,277.53815949469055,265.43413731316525,LEC
15,100.80482782814815,99.08313649694303,LEC
16,222.54242608484847,211.61943971507355,LEC
17,275.02708406666665,264.94606530370373,LEC
18,294.37498058338736,291.9668653206349,LEC
19,304.96797629968256,302.7127838525779,LEC
20,308.89296305777776,308.3977685463637,LEC
21,295.28474912239767,286.5326376888889,LEC
22,159.8004755047619,153.4287478995078,LEC
23,236.05348180489904,234.19210560000002,LEC
24,276.5102165984912,274.30187397242787,LEC
25,286.0,287.0625006222222,RIC
