Minisector,GAS,NOR,Fastest
0,263.3496121612694,264.27644135970695,NOR
1,250.19352138271606,244.18858175712307,GAS
2,167.52314161549512,167.60291205072036,NOR
3,247.2221110574956,251.13435095580863,NOR
4,271.39078807168056,269.93315209275363,GAS
5,189.61282177807152,193.8407328432719,NOR
6,121.87847163440168,120.29632566102735,GAS
7,160.46222984954733,161.24782085610232,NOR
8,259.0488767179487,261.24303562274224,NOR
9,182.83049350040494,178.6996564148148,GAS
10,183.20927619504974,185.00999713304225,NOR
11,256.40295897764344,260.65981506212376,NOR
12,247.36119677000443,259.76689546238464,NOR
13,254.44877566811815,269.8463894193013,NOR
14,282.12210054492755,288.28420705335884,NOR
15,288.2381400013223,280.0421909333333,GAS
16,148.60468532690572,145.8485474614646,GAS
17,237.75346111724755,241.75308211805094,NOR
18,281.7546369777778,283.79900866711796,NOR
19,293.67348480000004,297.0922050684807,NOR
20,297.1856603291274,301.89153195897563,NOR
21,298.46539867826084,305.9963938330438,NOR
22,150.72368622900723,152.30435814374152,NOR
23,91.7586934900067,91.48471014605656,GAS
24,177.8509628377084,181.20340499731364,NOR
25,245.541664,,GAS
