Minisector,HAM,LIN,Fastest
0,247.2014824911207,241.3241015512545,HAM
1,135.8814243185423,139.824288922433,LIN
2,276.80021697374696,283.56475900770977,LIN
3,315.37128679336854,319.38113072959646,LIN
4,297.488320279001,301.3215373545578,LIN
5,320.124902081724,314.8300941298835,HAM
6,321.0482856484571,313.76689722687746,HAM
7,316.7059284658205,310.1310586204004,HAM
8,200.15290204511322,186.59570632440852,HAM
9,187.73097491045235,190.54444255491484,LIN
10,175.91001217154945,173.5235572762375,HAM
11,169.50651106734574,169.44389840308003,HAM
12,245.56220148201078,241.74398098695045,HAM
13,264.0211559920251,250.04154372284196,HAM
14,266.44419062439545,265.8043861902303,HAM
15,251.69332343673472,239.56537646225388,HAM
16,173.93122395283217,174.64038311692423,LIN
17,188.7944882551974,189.79678832259802,LIN
18,254.90264165050965,251.09092936803228,HAM
19,303.22093512936834,301.20112746932006,HAM
20,316.69313519777853,317.2551968149222,LIN
21,291.7846091279015,293.05750398226706,LIN
22,275.23082002381227,275.02679518802177,HAM
23,247.03442271845972,233.3569268375252,HAM
24,117.62576080052722,123.4158670403701,LIN
