Minisector,LEC,OCO,Fastest
0,291.6332176150427,290.74730835333503,LEC
1,161.3407477908598,163.98589312178245,OCO
2,174.74281137824997,170.62114317820004,LEC
3,256.54951360801056,251.9112132040917,LEC
4,289.18492927343794,283.0496469181103,LEC
5,261.502979835393,241.58923437249496,LEC
6,227.6869787860202,225.26632452586972,LEC
7,150.75574525918273,150.56678244266655,LEC
8,226.17927692883785,226.00722042264934,LEC
9,279.4448864982857,280.5285767975588,OCO
10,297.86030287515155,301.80686729974025,OCO
11,307.58107983310657,312.3067069988304,OCO
12,311.5122180330827,316.48530819088364,OCO
13,310.1687919146667,312.35689547655807,OCO
14,127.16744347774379,127.02408744863173,LEC
15,119.45194021976566,117.02463457565037,LEC
16,104.41928054083101,100.19516121706069,LEC
17,237.6079764978882,233.78687053522034,LEC
18,286.219132397361,286.17204411238095,LEC
19,307.697321264,309.5209479954212,OCO
20,318.3492186826667,319.97446462470685,OCO
21,319.54755003109,322.3929142973262,OCO
22,125.61809679435255,118.38906554693975,LEC
23,203.53498201379443,203.12971190142954,LEC
24,269.58400843638606,272.39403569432505,OCO
25,283.3531248,286.5833344,OCO
