Minisector,LEC,RUS,Fastest
0,309.49783859248123,286.1290773409524,LEC
1,186.42458158311982,209.0016594901099,RUS
2,225.51593465569954,224.82517247531374,LEC
3,282.4652513201436,270.2026444539362,LEC
4,233.1491409192487,249.01557410951816,RUS
5,129.16583017956032,132.76301142564557,RUS
6,215.6983835900571,212.65660523713942,LEC
7,261.6006178502833,259.35058149205054,LEC
8,242.74040177177503,253.92333321143278,RUS
9,233.4922994589364,233.95654076761727,RUS
10,279.3007493787121,272.75802856412184,LEC
11,299.54034347750445,289.6684348882452,LEC
12,309.50907791040976,301.1664457198746,LEC
13,315.02505451896747,305.84946899969924,LEC
14,318.22076125483403,303.48361693866667,LEC
15,267.36924874089186,262.0905411816573,LEC
16,242.3589357482958,241.59517040809666,LEC
17,287.6776490448806,274.5696039469756,LEC
18,309.0666594488889,289.1495815391982,LEC
19,160.8164619024827,154.56387472092555,LEC
20,212.34005784305006,207.34381034988442,LEC
21,204.599891987269,197.78652869060974,LEC
22,138.85433032858862,135.25745694801938,LEC
23,237.54753590884764,230.28699955843794,LEC
24,279.91873456207793,274.90950221894974,LEC
25,290.7083338666667,286.7107145142857,LEC
