Minisector,VER,PER,Fastest
0,283.4477460723824,282.8156804121301,VER
1,256.82925114173327,241.32086097737005,VER
2,271.02640222399566,267.2918209486473,VER
3,285.7578431372549,278.3248361034161,VER
4,139.67639419753544,129.3899490219884,VER
5,209.51515844143066,210.76337734921404,PER
6,263.815685731926,265.3764437038394,PER
7,284.9750179998168,286.2223119031795,PER
8,293.08243323999,296.6197916,PER
9,296.4398866083541,302.1650842362384,PER
10,288.8713254901961,303.8069196571429,PER
11,105.48422249835056,112.74747199614245,PER
12,220.47663188475536,200.44643978399338,VER
13,270.3466673497014,267.2530937144482,VER
14,275.24053924313375,285.78680029285306,PER
15,134.9038486317045,135.10613632227754,PER
16,214.4778552869872,193.9169385877398,VER
17,260.24212744401314,250.82726948753466,VER
18,263.9391697575667,264.1762370423236,PER
19,252.90727317480827,237.32351812886137,VER
20,153.76476745713072,158.54480105935434,PER
21,197.20416766917384,168.64024843339462,VER
22,183.99356419419817,186.65645086208752,PER
23,198.79613249818115,175.5036835024087,VER
24,253.058552477193,241.38589308979167,VER
25,273.7714304,270.0222222222222,VER
