Minisector,HAM,NOR,Fastest
0,296.65366444862497,298.6293348646191,NOR
1,254.81800437040204,234.47191650126624,HAM
2,199.2708998816214,191.6955827399571,HAM
3,262.12266522714276,263.0497393306183,NOR
4,215.85846254283925,207.61936823871412,HAM
5,113.19934449862227,106.32662944026939,HAM
6,171.4009458236428,167.79114210020282,HAM
7,252.35437535089685,256.61955884102565,NOR
8,288.08952374548295,288.37636748279994,NOR
9,303.7181576400287,304.45404367394383,NOR
10,306.273170137971,307.34275739064066,NOR
11,229.14771911999998,209.25081460979317,HAM
12,139.7784564082891,136.6876073395263,HAM
13,250.76737855981628,252.16894347406642,NOR
14,287.50203608029557,290.1340114088889,NOR
15,299.4368952332468,301.9546928517246,NOR
16,297.604844354632,298.1510119393651,NOR
17,256.3080137948718,253.55820608410255,HAM
18,178.59526814326264,175.49461569331635,HAM
19,175.65265822710677,168.49316662957784,HAM
20,175.04623673568628,174.57298741407942,HAM
21,241.6868390284815,239.69272420327619,HAM
22,121.75700086197678,113.47244116613962,HAM
23,190.5973748514671,199.81752041566503,NOR
24,275.336279454359,276.8457999116402,NOR
