Minisector,SAI,VER,Fastest
0,256.69918803859986,259.39958836205545,VER
1,135.44197617131312,134.52099896189628,SAI
2,202.83158917746172,200.19395588871575,SAI
3,247.2824914422439,246.02512751496997,SAI
4,256.6403754805195,259.736317767033,VER
5,178.9676527925019,190.00827792280703,VER
6,149.91850674699938,154.49279685741212,VER
7,183.1614394375065,187.46818054545454,VER
8,103.01513594823992,106.52264145216806,VER
9,75.01329342206746,76.1136770525547,VER
10,91.26667983404809,98.01278466878898,VER
11,186.94010131156463,179.52588521035923,SAI
12,245.0092561235209,239.3731956915873,SAI
13,270.72904273038097,256.5266749212314,SAI
14,275.82099191794873,267.6604163733333,SAI
15,105.16481880630181,117.5230717476772,VER
16,158.11447069061225,141.27157311064005,SAI
17,189.962677047873,191.21562313757727,VER
18,203.37466561284782,200.77132544307884,SAI
19,215.85422526162463,220.82046862391536,VER
20,141.5679961004329,137.96313929422223,SAI
21,105.12172034127077,119.79391309659864,VER
22,97.76671209162964,91.62174066762275,SAI
23,201.41443293946523,191.42521117553883,SAI
24,253.684412205874,247.20373024639133,SAI
25,,263.24,VER
