Minisector,ALO,RUS,Fastest
0,289.46766132155847,289.4760024571114,RUS
1,153.9176030374687,171.20979461937327,RUS
2,173.66972794766082,167.9583613180004,ALO
3,254.8934306973336,250.58475254450795,ALO
4,288.55187093696145,285.035459334966,ALO
5,247.59232629629628,253.11478751265597,RUS
6,228.28341334857143,218.8254729735279,ALO
7,160.32717017522197,153.56766297910937,ALO
8,228.42307142942497,227.32098958728386,ALO
9,280.0490219270669,282.63771509925925,RUS
10,299.15158646627185,299.0287370444828,ALO
11,307.5644607843137,305.98055939483964,ALO
12,309.82282988888886,308.70091545512264,ALO
13,308.0025999975064,309.6470588235294,RUS
14,131.47350513125363,135.93887892972722,RUS
15,120.78199807310328,123.34165188762397,RUS
16,104.35846471735684,104.02967245151335,ALO
17,233.99370553812244,232.44579576363526,ALO
18,289.92284549761143,286.6445611398256,ALO
19,307.0010875755899,306.3457420377727,ALO
20,315.7688016108392,313.27664405684055,ALO
21,320.3824305422222,316.7686662842857,ALO
22,128.5607928280061,135.79619632500678,RUS
23,200.98294844980248,199.14071291915084,ALO
24,269.1581619198629,267.87243751819653,ALO
25,,280.3833344,RUS
