Minisector,HAD,HUL,Fastest
0,329.9223295608391,307.83250756471676,HAD
1,269.3928677236428,242.03223484848485,HAD
2,130.2882531832612,127.12113236484466,HAD
3,211.48608946405702,216.75039285714288,HUL
4,261.9884124451243,261.9404370443476,HAD
5,286.3573529411765,287.40245535714286,HUL
6,295.16980392784313,303.65208333333334,HUL
7,274.52570461658803,303.76447601122914,HUL
8,169.27684339907836,174.41108391608392,HUL
9,237.60275316772035,238.2372660445874,HUL
10,270.49087962962966,272.23138592341843,HUL
11,260.692796901731,270.37409226190476,HUL
12,203.69496380366147,206.75328915151513,HUL
13,125.74505352623532,126.68032085937493,HUL
14,120.29534641942278,120.81966157106783,HUL
15,161.53511882855614,168.96571566626622,HUL
16,119.78273647500396,122.96264991881823,HUL
17,228.36879818594102,222.30357133116985,HAD
18,195.27359316069075,186.8784421741564,HAD
19,149.93248976439278,156.5216457416399,HUL
20,243.23024175576722,243.39947089947088,HUL
21,271.874448006796,273.79717030897143,HUL
22,289.8262937062937,293.25387878787876,HUL
23,301.5863060608227,311.1096153846154,HUL
24,308.06202387047625,319.820030434388,HUL
25,,320.06041653333335,HUL
