Minisector,HAM,BOT,Fastest
0,257.01002321927496,258.6628349841239,BOT
1,219.5214556417249,208.00563695700941,HAM
2,222.62552729446168,226.1653294070649,BOT
3,262.0668037610936,266.57360612400436,BOT
4,271.2928571936508,273.09466413744644,BOT
5,227.36161983443483,217.22456665503597,HAM
6,98.95305988530684,98.50842477017139,HAM
7,176.42323878478302,191.56426036066293,BOT
8,275.3923833267186,273.42540548124634,HAM
9,302.21799457684085,297.77691103906983,HAM
10,311.9417944916567,304.35595232000003,HAM
11,309.9448530196079,295.3964564825397,HAM
12,109.50505600517165,111.24475198079583,BOT
13,204.38135895624995,222.286982696917,BOT
14,275.19123905064464,279.75443948015527,BOT
15,296.4771640407554,292.46060004350784,HAM
16,236.12682350083958,210.72495423108614,HAM
17,125.11095914788334,127.50518798972622,BOT
18,152.2784663151122,154.98598025253224,BOT
19,255.85914020526903,256.3113366350419,BOT
20,154.02190710032937,156.04680121291872,BOT
21,131.5010691536034,131.03702274390795,HAM
22,204.83444469719197,212.4275288870328,BOT
23,205.1563042625892,199.93071376116131,HAM
24,170.2845628896982,168.37480158010607,HAM
25,230.66108822464582,,HAM
