Minisector,SAI,OCO,Fastest
0,252.69485496712636,254.37725510112685,OCO
1,211.68066539647236,211.19051579104237,SAI
2,202.69096961828848,203.88823386976827,OCO
3,254.09625366627517,255.59800236098414,OCO
4,271.2286326631218,267.8137660468755,SAI
5,285.22914231248774,289.08637361744695,OCO
6,166.11499661744426,163.90914827344537,SAI
7,183.64501018574714,182.8518645019791,SAI
8,262.73239175944474,267.5022261754929,OCO
9,285.1239427931164,293.71305919878426,OCO
10,295.0430817208215,304.40675667611947,OCO
11,298.2825397333333,308.3537523804981,OCO
12,120.11923981043573,110.00202277993375,SAI
13,183.89189930982565,190.06306053517423,OCO
14,266.1469484637723,273.65240954918687,OCO
15,288.7437474306851,297.5745008712152,OCO
16,297.27366703731053,301.726700868899,OCO
17,187.39520545432023,177.888781195762,SAI
18,220.70269026483544,221.60802737946068,OCO
19,266.5314495984271,264.0127254817149,SAI
20,159.58813070775454,149.79350416648555,SAI
21,151.06777138372422,142.50635748825792,SAI
22,218.88142173864776,221.82401012600684,OCO
23,239.57728549086067,219.7872201924002,SAI
24,156.17952892663885,156.83331592078417,OCO
25,225.3697412465257,,SAI
