Minisector,MAG,HUL,Fastest
0,288.1870856486544,292.1959597286771,HUL
1,195.10720860063702,198.5091798115909,HUL
2,227.20114289753252,221.55987782288997,MAG
3,270.96248411299723,271.6564498069684,HUL
4,230.8326397574251,232.77420586073174,HUL
5,126.06921478445646,122.75950430797089,MAG
6,208.4064017458231,206.46581038153892,MAG
7,255.67023780424555,254.2009144158749,MAG
8,206.21711134110703,205.71017457882826,MAG
9,205.89077649192143,204.55641836633657,MAG
10,261.9916225979027,262.3099589364302,HUL
11,208.0302130374152,209.30088898550306,HUL
12,175.42451125452635,175.09536209558155,MAG
13,256.07125769433105,258.4417436942186,HUL
14,276.97202825486653,280.46732337499924,HUL
15,258.39648874933914,258.99834483712914,HUL
16,238.231234561271,234.77297402820074,MAG
17,270.342304451212,270.48198891693147,HUL
18,283.12141609071637,284.4866250412815,HUL
19,175.16597533907665,169.8698176840363,MAG
20,212.6579783113802,209.4021072232241,MAG
21,173.0577836587919,170.88672143346756,MAG
22,140.9554734132263,138.3870975031581,MAG
23,237.02095519053023,236.53210498676893,MAG
24,275.0114171053826,278.7556361321202,HUL
25,285.45833173333335,289.76666666666665,HUL
