Minisector,RUS,HAD,Fastest
0,297.3017884232618,297.32256054416524,HAD
1,308.95395840888887,306.26953134285714,RUS
2,311.5168817107609,310.73227452239587,RUS
3,294.80904400089014,301.1030388187654,HAD
4,160.2974438307279,162.8914080729449,HAD
5,211.9448505819665,211.01734064141417,RUS
6,244.29098522874457,238.79918060605394,RUS
7,271.55543120981474,268.12437404,RUS
8,240.73766470580085,250.74254494222222,HAD
9,161.7017579557639,158.03527158882946,RUS
10,212.6678467949714,218.8285829302857,HAD
11,125.07186771389475,122.08804763853304,RUS
12,230.2341679483563,222.61270302609842,RUS
13,176.76608481203252,160.5326435992521,RUS
14,224.13027426107107,222.54942291369903,RUS
15,246.98452208688994,241.1550607699326,RUS
16,270.00137054796994,267.7262668664388,RUS
17,300.88428920392994,290.44411406969186,RUS
18,144.90338366473458,142.8982502186949,RUS
19,172.2993624398495,162.48042697545557,RUS
20,138.70045267635487,140.46172054998746,HAD
21,232.02973291742902,229.06973906301792,RUS
22,265.4525935498183,261.5374998660355,RUS
23,255.60293035479202,249.738893696347,RUS
24,281.02800441803174,278.12678884408655,RUS
