Minisector,SAI,TSU,Fastest
0,287.46058440839914,304.0427796935818,TSU
1,294.4155796869565,318.01031761269843,TSU
2,285.3356641466818,289.02074827542936,TSU
3,111.58179987398987,108.84134578536396,SAI
4,223.73694432,228.28170664515002,TSU
5,272.7726585828571,287.15750136935355,TSU
6,217.63083948095237,220.50596199560493,TSU
7,162.1482395554825,156.69677099677617,SAI
8,212.64086049032258,206.4051745304192,SAI
9,223.08865183034325,215.60442713333333,SAI
10,120.33502567756348,118.24325136587137,SAI
11,234.16376083841374,229.26900923543383,SAI
12,126.92466182179304,123.88347368993024,SAI
13,224.23490956069838,222.24563628698414,SAI
14,278.82999987200003,278.43844306031747,SAI
15,220.3974635469248,217.6177854354394,SAI
16,191.42376778031257,190.99026744037477,SAI
17,250.49183870658143,250.97094390970017,TSU
18,199.666053441136,205.77982032421988,TSU
19,177.308756399988,178.67529821421337,TSU
20,261.88922595265524,262.64078042486506,TSU
21,286.82836445548656,288.5893119072464,TSU
22,178.85546418000462,175.7939706446495,SAI
23,215.18735115238096,212.54869903333332,SAI
24,270.4409511450148,269.48442482936133,SAI
