Minisector,HAM,PIA,Fastest
0,312.8165698499002,294.50059119238097,HAM
1,322.0907417459341,300.8542238857143,HAM
2,248.6669167879699,218.42486077660135,HAM
3,137.2761723078403,142.43116125300682,PIA
4,222.23156739302135,219.8044772129443,HAM
5,166.42228747391405,164.22795477121693,HAM
6,166.93413457751433,169.8363388163041,PIA
7,245.65941592900433,250.37842118736842,PIA
8,277.74983795555556,277.32213215596636,HAM
9,286.52598644341225,285.64643786039215,HAM
10,265.33193647662307,264.5476601541736,HAM
11,231.70946241342403,236.5718618783151,PIA
12,241.38646393773948,240.05257543090318,HAM
13,210.83093244617604,210.1766658504348,HAM
14,129.22600970013738,134.68043924069235,PIA
15,143.59181748963923,142.82030160813133,HAM
16,167.19891703656188,164.6287493230769,HAM
17,245.26698921289275,245.18293759313445,HAM
18,248.4843588570731,255.17240441584076,PIA
19,115.22532417356562,117.20634217550386,PIA
20,186.71163371007958,184.70034049185185,HAM
21,200.9925870543035,202.20372729628627,PIA
22,232.7957083491639,224.5665940836281,HAM
23,268.608619394211,260.1822233994227,HAM
24,294.1047779027059,281.1677444883958,HAM
25,,289.7053568,PIA
