Minisector,LEC,VET,Fastest
0,117.09436384594466,175.53353112380952,VET
1,146.60018370460494,232.51106626673118,VET
2,166.17480401269842,272.7928420308377,VET
3,106.0529579,295.3378468444444,VET
4,144.34096543914265,311.71856004848485,VET
5,195.3457164393851,310.0996654814136,VET
6,153.95975569909567,182.85643985594206,VET
7,140.83906153333334,144.65941926956523,VET
8,143.8127265485781,220.5932165248633,VET
9,144.18509663218737,270.03389689901917,VET
10,182.5625706015319,290.69734749090907,VET
11,152.4552532306218,304.23680506666665,VET
12,148.3749981217391,312.5412875636364,VET
13,184.42648965498842,317.0516977115851,VET
14,201.70889700947086,263.45157428854486,VET
15,155.6184806995671,88.48912713588851,LEC
16,118.64945369011305,146.04805157812976,VET
17,94.4375598737661,231.76277596444444,VET
18,112.47154094812304,276.75160090256406,VET
19,121.63846462528736,299.50539105016014,VET
20,141.21260877523284,311.68597705988014,VET
21,197.59208488515404,303.9768965818182,VET
22,153.81595135934433,151.109197542029,LEC
23,172.73148311289793,113.72365235996703,LEC
24,220.271092,211.7865187764706,LEC
25,,251.57444926593405,VET
26,,252.02468222427333,VET
27,,167.93614701993326,VET
28,,181.80131390877193,VET
29,,231.28293587127322,VET
30,,192.0685198222222,VET
31,,214.0187681823819,VET
32,,247.65943788843538,VET
33,,271.2764064527015,VET
34,,285.18368000000004,VET
35,,292.76712660779225,VET
36,,268.21506715897436,VET
37,,215.46607184761905,VET
