Minisector,BOT,RIC,Fastest
0,294.31989168818325,295.20354176,RIC
1,297.1414357333333,293.9333528819411,BOT
2,170.40572917003027,158.76558393940746,BOT
3,228.79174336397517,230.38242828985506,RIC
4,276.0233602950658,283.83734335839597,RIC
5,293.16980648841997,309.3495798588235,RIC
6,299.24814820740744,315.4269956929972,RIC
7,158.25573942992193,166.0013725490196,RIC
8,141.00400624211184,135.9154457392802,BOT
9,253.68841389192502,249.80674603174603,BOT
10,285.91271893333334,281.68327099348375,BOT
11,297.3010049465707,286.41203703703707,BOT
12,147.25828423208281,151.69108813333332,RIC
13,206.71475423583541,201.489215062756,BOT
14,264.7952016627354,257.8727890140589,BOT
15,203.88786735238094,203.6330471552402,BOT
16,226.64516726121974,227.84420289855075,RIC
17,215.4652085333333,219.67466641066665,RIC
18,246.92209523155668,248.79434194223185,RIC
19,277.68329307816975,275.05614051929825,BOT
20,294.15342539386756,287.75443673420483,BOT
21,262.9709750566893,258.92154810947187,BOT
22,220.62733983962588,226.2442702666667,RIC
23,213.6882331282619,209.0557581197327,BOT
24,269.2094734809778,263.30604186666665,BOT
25,282.0,283.22500053333334,RIC
