Minisector,LEC,MAG,Fastest
0,244.58050756079123,238.59465882082426,LEC
1,274.3050996065095,270.4172393321265,LEC
2,177.31570608395793,172.42691287104057,LEC
3,163.08553536217426,149.22412285512294,LEC
4,256.4112827265651,254.23261256916996,LEC
5,265.9903984995904,264.6710940203958,LEC
6,222.95360910197303,216.74386169516387,LEC
7,205.3058414180405,192.44318421927466,LEC
8,158.34023582361914,149.02987173475935,LEC
9,214.17597473947612,207.75993508910054,LEC
10,270.1240573526837,266.8871076779586,LEC
11,117.70456601837603,118.35939354029055,MAG
12,206.39747350831752,204.54488160372486,LEC
13,268.7803976748052,264.2523449265151,LEC
14,289.8003620001606,287.01327999999995,LEC
15,298.0681156030075,295.14971210443616,LEC
16,238.71728006912215,242.50217850730158,MAG
17,134.44313439345186,132.4354124439751,LEC
18,133.96525474855176,130.17336029427153,LEC
19,125.96158991075285,117.18273400664401,LEC
20,219.7570021936762,220.316559178812,MAG
21,252.0471511185185,253.3344717923077,MAG
22,228.34791683583998,228.6163291454337,MAG
23,208.336041874251,196.1012430483543,LEC
24,136.17571481055944,132.9837504780221,LEC
