Minisector,LEC,RIC,Fastest
0,309.49783859248123,285.8899128633555,LEC
1,186.42458158311982,204.3184907972286,RIC
2,225.51593465569954,228.1926586472947,RIC
3,282.4652513201436,269.19713266996825,LEC
4,233.1491409192487,243.16375588169296,RIC
5,129.16583017956032,130.98874278142156,RIC
6,215.6983835900571,206.8796413096116,LEC
7,261.6006178502833,257.5945347049158,LEC
8,242.74040177177503,243.83465230947183,RIC
9,233.4922994589364,228.70721265836386,LEC
10,279.3007493787121,272.4553747559116,LEC
11,299.54034347750445,289.3907335205776,LEC
12,309.50907791040976,299.44845481058985,LEC
13,315.02505451896747,304.89075001599997,LEC
14,318.22076125483403,299.2785930009023,LEC
15,267.36924874089186,254.0684445747397,LEC
16,242.3589357482958,238.25072318960875,LEC
17,287.6776490448806,275.3736470732437,LEC
18,309.0666594488889,282.61431808000003,LEC
19,160.8164619024827,154.07278168351613,LEC
20,212.34005784305006,208.75233284206598,LEC
21,204.599891987269,194.5271101645362,LEC
22,138.85433032858862,132.9051433337798,LEC
23,237.54753590884764,232.57505520142536,LEC
24,279.91873456207793,275.0470378670006,LEC
25,290.7083338666667,285.06499968,LEC
