Minisector,SAI,RUS,Fastest
0,296.4718882753102,304.13377677294363,RUS
1,304.62648807619047,314.8410256410256,RUS
2,307.03216811505195,321.4274460731472,RUS
3,295.5224356923077,316.6509613538461,RUS
4,194.85419939712583,198.523974591603,RUS
5,96.97002581296977,104.54542029151477,RUS
6,206.7396835555556,212.68218587439387,RUS
7,258.04737724615103,259.60413302507106,RUS
8,280.559896,283.6855560838095,RUS
9,281.2461095822222,289.36587836988264,RUS
10,144.52447994774485,152.70292292439404,RUS
11,177.13073116829145,185.0862480784146,RUS
12,241.1513893925926,244.6395835005291,RUS
13,241.67198959576723,242.7709991236623,RUS
14,148.06138783821578,158.36802858562493,RUS
15,209.93412091578483,220.45921102489558,RUS
16,259.9028214088979,263.9243948373728,RUS
17,281.0811757809524,283.5923210849812,RUS
18,292.80972236190473,294.44187944489795,RUS
19,299.51095314595295,297.749107047619,SAI
20,291.67741931960205,288.0034721495622,SAI
21,150.28190414979525,160.45561080257008,RUS
22,208.57523934476188,213.32206333369305,RUS
23,258.0577723982575,261.1002458352941,RUS
24,282.39680091428573,284.84374953450504,RUS
25,,292.75833386666665,RUS
