Minisector,ALO,OCO,Fastest
0,291.9605502650044,289.10019678557,ALO
1,304.7357984355556,298.67119826729146,ALO
2,308.345553210084,288.74758493642514,ALO
3,182.79604762408238,182.6150267356229,ALO
4,206.49550046400873,204.0425942458167,ALO
5,198.4385023941243,201.3563350780133,OCO
6,264.6043624579827,258.0733442742857,ALO
7,255.33211558640411,247.83348522733158,ALO
8,200.01981007744757,204.41884415365078,OCO
9,207.56896488230225,201.30054259999886,ALO
10,137.1994820853047,139.54274025914432,OCO
11,208.77479799522715,191.45382663596277,ALO
12,171.40626991737219,176.72348193852665,OCO
13,246.21234434142167,251.47844114285715,OCO
14,172.10420075549914,165.6809747511502,ALO
15,235.62753041151805,229.91684414439783,ALO
16,275.88684070748303,273.8914675442424,ALO
17,272.73733773298704,280.0650615846087,OCO
18,263.406198002963,272.0912281323363,OCO
19,246.22192939835517,253.41054686567495,OCO
20,256.8149807056693,251.51271684082306,ALO
21,255.83857839307538,252.33933821217394,ALO
22,219.5513783336603,219.9293476733383,OCO
23,192.43776091578619,193.15165111724139,OCO
24,270.50964763229814,266.10422750749626,ALO
