Minisector,SAI,RAI,Fastest
0,277.24016785066664,296.62954490735933,RAI
1,160.08070407445166,156.05297421696213,SAI
2,151.4397550800501,153.72406289377082,RAI
3,232.66018389559085,219.12417515928263,SAI
4,284.3249064825487,282.20991216231886,SAI
5,275.81124640277056,294.74959070098504,RAI
6,143.5235195572802,147.13504932634373,RAI
7,141.4123427891681,138.53143093499352,SAI
8,141.98669091792712,153.16106480581527,RAI
9,194.6097958342381,171.03346050231858,SAI
10,126.71525281562263,134.21250117817067,RAI
11,120.91412955156588,127.9641298590439,RAI
12,176.92138423576415,154.81028408904737,SAI
13,269.41497985396825,261.8539899090134,SAI
14,282.8107141962733,288.727219012987,RAI
15,145.75178569070295,157.48995283552563,RAI
16,207.79680314715793,216.0597737095861,RAI
17,179.650434997987,159.0659049924298,SAI
18,274.4817210984127,264.67088199314287,SAI
19,294.3160319699427,292.3718619636364,SAI
20,305.46483123809526,304.3920636952381,SAI
21,311.94711199816993,313.095918585034,RAI
22,314.07791664,316.59617183660987,RAI
23,316.05375002666665,318.6324998933334,RAI
24,314.6733333333333,319.525,RAI
25,310.0,319.0,RAI
