Minisector,SAI,ALO,Fastest
0,270.69985987465424,266.1545639836735,SAI
1,290.5658964526611,284.8035985138903,SAI
2,298.8521382163261,291.98910776395593,SAI
3,123.2010467658935,129.0450418046257,ALO
4,191.57715745185183,188.61092843515297,SAI
5,254.5928678235818,251.90211168282383,SAI
6,139.1792252936531,145.23461778243018,ALO
7,202.77408240437936,200.67563350844225,SAI
8,257.1785705650794,252.37666517532995,SAI
9,278.85581157427913,275.2800818240422,SAI
10,231.83392788210537,240.65217409855074,ALO
11,177.70378636413727,184.91567767298937,ALO
12,191.97534571168066,189.84817267163686,SAI
13,147.26549301445584,154.25774381607033,ALO
14,175.98634830131368,178.48772482651307,ALO
15,162.78287560258667,167.6172284236992,ALO
16,216.28885426481452,215.38138960324525,SAI
17,230.4461092789843,240.07272688484846,ALO
18,236.87563681135626,235.20759687101815,SAI
19,239.5113662060606,248.36581490267687,ALO
20,139.16747385530928,142.07580400180439,ALO
21,133.54093156078056,141.34242624078465,ALO
22,171.67499896888887,168.13370146836934,SAI
23,146.55897464456476,153.58655682539683,ALO
24,229.03100030476193,221.43009273732466,SAI
25,,251.4500032,ALO
