Minisector,HAM,PIA,Fastest
0,306.4955321392073,305.39035352533335,HAM
1,320.6289904253968,321.37153781924434,PIA
2,290.9675051275782,283.6400170183896,HAM
3,107.64542079061006,109.83888581552134,PIA
4,231.76214398837604,219.34811034288703,HAM
5,270.68620132041406,270.1535462293996,HAM
6,218.507135225679,205.09314897803637,HAM
7,165.2625602996893,163.39270052609493,HAM
8,210.1999967960338,210.60646483470632,PIA
9,221.04553179523302,220.39144872380953,HAM
10,115.32231580899003,111.54004693652097,HAM
11,227.47976739779048,233.1611856580781,PIA
12,118.37546119119985,117.23239416778839,HAM
13,218.85989112017734,229.91970462766582,PIA
14,274.861382932987,274.1431714694023,HAM
15,231.4900316730543,199.52078938231293,HAM
16,199.8574057720068,202.8974951183472,PIA
17,251.42112750524575,256.1244527271221,PIA
18,201.5481091664762,202.23984762711714,PIA
19,184.3363888377558,184.80035371437694,PIA
20,264.4623250820183,267.89150792949357,PIA
21,288.55889732330826,294.34097146439433,PIA
22,168.94220115033485,159.5416547994979,HAM
23,215.7606422679365,218.43722813790086,PIA
24,272.067556377547,277.8718279214907,PIA
25,285.7750016,,HAM
