Minisector,SAI,HAM,Fastest
0,275.8292324088259,286.46054187052135,HAM
1,295.23889148380954,313.3397656401867,HAM
2,229.75098537295543,222.7061818509825,SAI
3,116.10175106958312,105.50370076283933,SAI
4,125.56720721277246,126.33115380558229,HAM
5,244.6491514788978,252.15920734222223,HAM
6,249.93880481427595,238.02799244359628,SAI
7,121.68428723299895,116.20271398607127,SAI
8,240.803737156022,252.77983075604809,HAM
9,243.32021259988872,250.77195061938698,HAM
10,206.66283735938245,203.14383370979894,SAI
11,139.06298085070162,129.0397627921989,SAI
12,195.27251927750893,202.3084204970477,HAM
13,258.3365314089546,252.65664088147622,SAI
14,111.56236991972858,107.72163840632031,SAI
15,179.78262769390474,190.21727545761766,HAM
16,254.29807916848685,256.88406072888546,HAM
17,285.11958104776744,290.96756744489795,HAM
18,298.9607372867725,306.8105961086958,HAM
19,305.7207878734123,322.44402957473073,HAM
20,309.2932484246914,330.06292573237585,HAM
21,157.89918587525514,135.78094097519994,SAI
22,157.91152358962287,158.69908201378666,HAM
23,192.44472645736303,180.8532807912799,SAI
24,233.07164491271976,236.5240103807215,HAM
