Minisector,NOR,LEC,Fastest
0,292.72171665864107,290.1003676574915,NOR
1,304.71690417430244,302.4666483911111,NOR
2,305.9582427134499,303.6380112984066,NOR
3,189.24847954955703,181.3098251070409,NOR
4,209.18699232897802,209.2321601140617,LEC
5,203.85310341879352,201.32449359632184,NOR
6,263.21517455223494,263.35913950125575,LEC
7,254.3537356982857,258.2743251445887,LEC
8,205.98980607778245,204.9127858043443,NOR
9,205.35594916040435,206.7139317239271,LEC
10,145.15102444843538,141.09530438908496,NOR
11,198.19108567783053,196.99143092089588,NOR
12,181.40592821824066,180.86424410049042,NOR
13,246.986214230303,251.25731925919413,LEC
14,175.22948646651923,169.43732276781859,NOR
15,238.04087352002952,234.93853000238542,NOR
16,275.58067192066113,276.5401104138528,LEC
17,279.0832797931429,287.76097579744106,LEC
18,272.7965607611561,275.146625104,LEC
19,260.3255424360173,259.9888650941863,NOR
20,261.9654312765318,260.00297165287617,NOR
21,262.51228870960114,259.16774927249133,NOR
22,221.13862761830674,221.36056491196834,LEC
23,203.05588855057192,192.25139414646927,NOR
24,269.40133269895784,267.51906562651396,NOR
25,284.37142857142857,,NOR
