Minisector,NOR,OCO,Fastest
0,307.0153679965201,304.9174046997865,NOR
1,318.9031250755555,310.555923187671,NOR
2,306.96649850752266,295.09052153489176,NOR
3,181.3235565533646,169.3357811165553,NOR
4,218.2508060363396,210.75450210319016,NOR
5,197.79959953538176,190.0715217826287,NOR
6,182.66005127726206,172.58921605286363,NOR
7,201.024045251772,201.11477607554315,OCO
8,250.03014810666664,252.46866733384138,OCO
9,248.49440351200877,249.8641875130382,OCO
10,173.5197151252531,171.35366157280265,NOR
11,232.16293489812807,230.45078148410428,NOR
12,125.29826598071078,123.306726359765,NOR
13,238.09423934806776,239.76583386640394,OCO
14,272.684902434632,278.30622958111445,OCO
15,269.54921678814816,275.4384278526984,OCO
16,208.58139766123563,198.63677015932774,NOR
17,193.03104549899666,188.46647442200688,NOR
18,288.50099113897903,288.6254358121739,OCO
19,316.79260014265685,327.1262113074516,OCO
20,313.5107146285714,334.2787209469006,OCO
21,293.65483130589377,308.7604063390476,OCO
22,258.12527726547506,263.2724614768369,OCO
23,122.59649278920355,120.29514542471368,NOR
24,250.91092579434164,247.42731344084658,NOR
25,,285.69999786666665,OCO
