Minisector,OCO,TSU,Fastest
0,267.1841107287267,266.9601931368936,OCO
1,286.81421973333335,286.0289472,OCO
2,292.6666676210526,286.95005274028955,OCO
3,124.13723919817181,122.15046369185185,OCO
4,191.3188164361059,193.51610300418938,TSU
5,251.3786024607108,247.32956416145126,OCO
6,137.70993014041363,138.93307879036414,TSU
7,201.1599463108949,197.59919696410256,OCO
8,256.28333280000004,254.83808607944454,OCO
9,274.9911194395665,276.5589601122807,TSU
10,235.7759120608195,220.1305413294999,OCO
11,178.69218984889847,173.58721645183195,OCO
12,188.13244700738528,190.2622326338873,TSU
13,151.77693725031367,143.21720162539683,OCO
14,179.64859114217572,174.16905833290323,OCO
15,161.47523158009744,159.6237393165266,OCO
16,213.75129964016207,218.37797971017142,TSU
17,230.5413787055885,224.2390631111111,OCO
18,232.69063018408656,233.74064551941512,TSU
19,239.35985037575756,230.94420377971014,OCO
20,142.44366577234928,141.70249948471601,OCO
21,132.66349102199425,133.5373021569161,TSU
22,167.34954927546434,170.49878977296308,TSU
23,148.6734490695178,148.54838072724306,OCO
24,223.74999795555553,226.32326351111112,TSU
25,253.14999893333334,,OCO
