Minisector,RIC,SAI,Fastest
0,274.0464236574194,274.28458615155984,SAI
1,243.91931966795778,228.3173509802036,RIC
2,122.37714873423249,115.87496584279553,RIC
3,191.23985575251052,190.28224360030646,RIC
4,187.87697442162946,173.43499664861713,RIC
5,215.5578167423339,216.81788343780212,SAI
6,274.50179817619903,270.8715161851087,RIC
7,293.35044523544474,286.99691645826584,RIC
8,190.0471260808268,180.30791457738886,RIC
9,137.4818302249673,129.44388453438282,RIC
10,133.5099059965202,135.27413779586803,SAI
11,189.51777129925512,192.4117579715819,SAI
12,232.52524736296263,221.52892547113987,RIC
13,138.45336707847963,129.28588933470746,RIC
14,160.7561178766243,156.16211451227463,RIC
15,122.05501712399222,122.5203704182467,SAI
16,253.35842856238222,252.27134975507536,RIC
17,150.41294935468858,145.1960081928482,RIC
18,198.95444096745396,199.41907770178025,SAI
19,140.747004734761,129.18027432759632,RIC
20,157.8135436885444,150.30959123899083,RIC
21,124.86569493737623,124.63582651367089,RIC
22,143.5006888419208,146.65533000181006,SAI
23,223.25346726394372,216.82223737234702,RIC
24,223.1949009192111,231.2066560654147,SAI
25,257.9353249545313,,RIC
