Minisector,BOT,OCO,Fastest
0,291.9668135193074,278.34002788142146,BOT
1,307.99184997399414,289.17610892751884,BOT
2,315.7797181124183,294.69793201777776,BOT
3,305.8855074116402,293.35934274091505,BOT
4,158.7099092050373,159.9448364334226,OCO
5,196.65783638934775,200.5717172591078,OCO
6,221.00897482418338,220.015049624315,BOT
7,259.8398261090909,259.55976449046057,BOT
8,233.23529009168524,240.96001689606055,OCO
9,148.92379087199998,152.65199015013295,OCO
10,212.8320199137136,222.33067471186817,OCO
11,128.0003694670356,129.3890410224903,OCO
12,224.0111093811717,227.74535131826087,OCO
13,168.9912380094173,166.30582364641162,BOT
14,207.15101878825396,210.8448468379443,OCO
15,212.69539730498337,223.68348998596983,OCO
16,248.4758746252588,251.994075488,OCO
17,277.45169717530865,278.4864680528496,OCO
18,146.45202772687725,138.82492519879486,BOT
19,156.426512165772,160.13838018795087,OCO
20,134.7822784856508,137.742022621318,OCO
21,147.67034421464416,150.00186417219766,OCO
22,107.36878308927382,108.14127741516228,OCO
23,209.23118946454926,213.3319819590008,OCO
24,260.9284531953719,259.50060960092264,BOT
