Minisector,STR,NOR,Fastest
0,271.29917128707484,274.91598373243573,NOR
1,291.4311856409019,294.9716666168889,NOR
2,289.25038882133333,290.76472569680635,NOR
3,181.31051166773628,178.9191936856812,STR
4,123.40166649010966,122.57816341520731,STR
5,236.83093555977305,239.36910918479836,NOR
6,280.5622191634804,279.8013791052242,STR
7,297.6505783555555,285.3815707897436,STR
8,184.04693897223765,176.8858125109867,STR
9,140.4151092735206,139.64993725079464,STR
10,249.39350542111444,251.36048236432265,NOR
11,285.25727931750384,286.4784623736003,NOR
12,298.1837617859048,293.1203334115555,STR
13,278.781646510483,287.00833322666665,NOR
14,298.02302403047617,301.96353560375525,NOR
15,302.9518529128885,303.2346016397516,NOR
16,253.19160987584718,252.33258138703326,STR
17,220.01008137922355,227.64162998918553,NOR
18,279.17885846913583,282.4703828258144,NOR
19,305.20713608861126,301.32533316266665,STR
20,312.0032608,300.0474463539487,STR
21,226.5167706518294,228.6766297501854,NOR
22,257.40379973601864,253.73643745679107,STR
23,136.49415639439167,133.23211634579457,STR
24,209.8562730165405,217.84792220940614,NOR
