Minisector,RIC,RUS,Fastest
0,294.7381722548303,304.13377677294363,RUS
1,303.8365075809524,315.13244053333335,RUS
2,309.9431735779389,321.6064897831339,RUS
3,311.10849189587304,316.6509613538461,RUS
4,189.2219681229448,198.523974591603,RUS
5,100.01747614036266,106.38577589416076,RUS
6,202.4369753435166,214.4023009204146,RUS
7,255.16651647942368,259.60413302507106,RUS
8,281.8884331610327,283.6855560838095,RUS
9,291.5937514666667,289.36587836988264,RIC
10,150.11660770539683,152.0235117890701,RUS
11,177.0918512643335,187.4538048092516,RUS
12,239.55070845691546,244.6395835005291,RUS
13,237.677629922807,235.39159525801364,RIC
14,151.52239818275572,158.25397873122589,RUS
15,213.3017691253975,222.48472274850087,RUS
16,260.4939129950867,263.9243948373728,RUS
17,281.8303566095238,283.5923210849812,RUS
18,293.9653348111557,294.44187944489795,RUS
19,301.2464288,297.5990282740066,RIC
20,280.81830198272394,279.71171746666664,RIC
21,145.63198368096127,156.18421394834428,RUS
22,206.94018003809526,215.2356666603777,RUS
23,256.45402529901787,261.1002458352941,RUS
24,280.98949799449247,284.84374953450504,RUS
25,,292.75833386666665,RUS
