Minisector,VER,SAI,Fastest
0,252.8311068441294,255.17038784761903,SAI
1,210.529693956523,205.30563648179273,VER
2,216.54428857631876,218.02343869999999,SAI
3,256.7081730871795,263.51556850392154,SAI
4,271.36693565290614,275.7495002026667,SAI
5,225.71824625287357,216.5208950491859,VER
6,101.72683054588343,93.46862643063685,VER
7,185.47883184439476,183.27972457788675,VER
8,264.92266683733334,276.1020960792381,SAI
9,286.25533859845837,309.29030638004537,SAI
10,292.5151516121212,320.65747185442274,SAI
11,286.2042967295328,313.7174234666667,SAI
12,114.34627042474209,113.63280890932508,VER
13,214.25268872258064,215.89210551965436,SAI
14,271.2246627848383,275.12383368533335,SAI
15,288.3675346666667,293.58184528888887,SAI
16,224.67060463136926,221.6927978470046,VER
17,126.69004799752724,122.28421603482592,VER
18,156.9448089058201,153.48641938352552,VER
19,249.0096153846154,251.92147472527475,SAI
20,161.29020950898658,152.98421218006925,VER
21,134.84756438643845,129.37796287102051,VER
22,200.62421375100016,204.31317261367408,SAI
23,207.9855037930303,206.53472184242426,VER
24,170.36406344,165.695879902414,VER
25,228.8750016,,VER
