Minisector,PER,GAS,Fastest
0,288.82853308071583,289.1583538578413,GAS
1,298.4291073142857,297.7338241896649,PER
2,304.0013157614035,302.2067460063492,PER
3,304.4677628631579,302.2995628350877,PER
4,186.168700079291,175.62659482352942,PER
5,215.18218406672534,214.23245029072658,PER
6,237.50316706133333,235.92345995185468,PER
7,265.5432805437317,263.5477455167982,PER
8,266.619008984853,253.28715382222222,PER
9,173.80569236539327,163.63354047165603,PER
10,235.359676382287,229.81504958438114,PER
11,137.46711516099506,135.5212830170982,PER
12,230.26137461807326,231.62449945600002,GAS
13,203.3819635678034,190.72102464102403,PER
14,219.8184168605818,221.77467876923077,GAS
15,250.7146223436853,248.30223351204714,PER
16,265.25514614507495,263.42700205529076,PER
17,284.8651417591446,283.1350623201814,PER
18,174.51797878113325,155.7444488489348,PER
19,170.28878664113535,172.8254595270948,GAS
20,149.87356527971056,147.26977639822778,PER
21,176.19009748414692,163.9675223323452,PER
22,121.43119791846837,113.80820161915688,PER
23,223.9222043629201,225.59190423161905,GAS
24,270.7075739896141,270.80557163285744,GAS
