Minisector,RIC,MAG,Fastest
0,308.4810949393139,309.8539604730718,MAG
1,235.82407450451464,236.42812732350885,MAG
2,141.43425272962813,137.11643635474715,RIC
3,221.67552477613808,222.28342783905782,MAG
4,264.64584177847075,265.02474284650594,MAG
5,290.05992613773935,289.9477764838692,RIC
6,304.6062499809524,304.83624267192516,MAG
7,284.2968918779193,300.85715144457066,MAG
8,181.23430053892636,177.15267959088504,RIC
9,242.89594234587972,238.53545313688437,RIC
10,274.71014990007166,272.8653445881503,RIC
11,270.57588002785695,271.2309632266554,MAG
12,212.80300491410273,203.88523355048756,RIC
13,137.62875249207323,130.56101889796986,RIC
14,124.14195347129221,125.65719342164728,MAG
15,172.27789535952675,166.06724304007017,RIC
16,128.79527401333056,125.06770556622608,RIC
17,233.6376704740427,232.69650437424752,RIC
18,191.75651818483848,190.76931175411767,RIC
19,171.6005646913898,161.9722446330259,RIC
20,249.09414800995373,248.6532017838193,RIC
21,277.7044079369722,277.56508264134834,RIC
22,293.5540325705394,297.6630357669687,MAG
23,303.70852218004904,316.4632726314017,MAG
24,308.40125870746397,327.0854166095238,MAG
25,,329.4351463269901,MAG
