Minisector,HAM,LEC,Fastest
0,309.8707383216562,292.55059525079366,HAM
1,316.21469299649124,292.99707551335496,HAM
2,311.2701392,293.43859649122805,HAM
3,231.7503755125596,229.55486594410183,HAM
4,222.91430959706958,228.235165696,LEC
5,118.62423670695226,114.63946442536765,HAM
6,214.71865668793708,217.61336046843033,LEC
7,268.002650569697,268.4813705563785,LEC
8,233.63267165866665,241.41833156266668,LEC
9,118.4729541407897,116.14280425000082,HAM
10,234.40859908944188,234.19680115555556,HAM
11,244.67699357681158,252.53869329637183,LEC
12,139.7075654950058,137.73092392727273,HAM
13,210.20954257495592,215.6196854851452,LEC
14,268.0868926926077,269.08205808616776,LEC
15,229.36512722962962,221.0591220097103,HAM
16,157.04175788444445,157.91527576282186,LEC
17,238.38699925333333,243.0239339349412,LEC
18,125.74903215591162,121.53023000687476,HAM
19,148.1324012550392,143.77181328131374,HAM
20,190.4363859657143,197.78208866931377,LEC
21,261.1419849956693,261.3636367030303,LEC
22,278.2791663746032,274.4357105647124,HAM
23,285.26150764263036,280.2208334730159,HAM
24,290.79344053864634,286.35021934035086,HAM
25,293.0,,HAM
